'1989-01-02', 635, 'Alice', 'Zimmerman'
'1998-03-09', 2102, 'Nick', 'Overton'
'1997-04-07', 837, 'Ronald', 'Perry'
'2000-02-08', 976, 'Holly', 'Martin'
'1998-02-06', 1912, 'Genevieve', 'Overton'
'1997-06-10', 1759, 'Deidre', 'Pearson'
'1990-01-09', 508, 'Dennis', 'Yates'
'1999-09-07', 1094, 'Ronald', 'Nedry'
'2000-02-10', 1122, 'Isabelle', 'Martin'
'1995-05-01', 1774, 'Timothy', 'Randall'
'2000-03-01', 1758, 'Jack', 'Martin'
'1995-06-10', 2045, 'Deidre', 'Remington'
'1998-04-05', 505, 'Randy', 'Overton'
'1997-05-04', 1179, 'Ulsana', 'Perry'
'2000-03-04', 483, 'Kelly', 'Martin'
'2000-01-05', 133, 'Bryan', 'Martin'
'1999-09-04', 301, 'Priscilla', 'Nedry'
'1999-10-01', 957, 'Timothy', 'Nedry'
'1994-05-01', 145, 'Timothy', 'Smith'
'1999-02-03', 305, 'Francis', 'Nicholson'
'2000-03-08', 303, 'Marsella', 'Martin'
'2000-02-01', 872, 'Earl', 'Martin'
'1999-05-05', 887, 'Victor', 'Nicholson'
'1999-05-07', 1186, 'Winston', 'Nicholson'
'2000-02-07', 281, 'Horus', 'Martin'
'2000-02-03', 239, 'Francis', 'Martin'
'2000-03-06', 801, 'Lily', 'Martin'
'2000-03-09', 1462, 'Nick', 'Martin'
'1999-02-02', 1635, 'Elaine', 'Nicholson'
'1998-09-03', 787, 'Patrick', 'Oscar'
'2000-04-01', 1568, 'Oren', 'Martin'
'1999-09-09', 1689, 'Stanley', 'Nedry'
'1999-10-06', 1739, 'Valerie', 'Nedry'
'1999-10-07', 1956, 'Winston', 'Nedry'
'1999-09-08', 1381, 'Rochelle', 'Nedry'
'1999-08-07', 121, 'Mark', 'Nedry'
'2000-03-05', 151, 'Lucas', 'Martin'
'1991-04-07', 452, 'Ronald', 'Williams'
'1998-05-02', 1471, 'Tania', 'Overton'
'2000-04-02', 1755, 'Olivia', 'Martin'
'1999-04-03', 1524, 'Patrick', 'Nicholson'
'2000-01-09', 118, 'Dennis', 'Martin'
'1999-04-02', 1551, 'Olivia', 'Nicholson'
'2000-03-10', 1942, 'Nadine', 'Martin'
'2000-02-02', 1498, 'Elaine', 'Martin'
'2000-04-06', 1491, 'Rachel', 'Martin'
'2000-04-07', 1032, 'Ronald', 'Martin'
'2000-04-08', 1185, 'Rochelle', 'Martin'
'2000-04-09', 214, 'Stanley', 'Martin'
'2000-02-04', 292, 'Fawn', 'Martin'
'2000-05-02', 234, 'Tania', 'Martin'
'1999-02-10', 1765, 'Isabelle', 'Nicholson'
'2000-05-03', 1405, 'Ulrich', 'Martin'
'1999-10-03', 141, 'Ulrich', 'Nedry'
'2000-05-04', 746, 'Ulsana', 'Martin'
'2000-05-01', 527, 'Timothy', 'Martin'
'1999-08-04', 1725, 'Kelly', 'Nedry'
'2000-04-03', 896, 'Patrick', 'Martin'
'2000-05-07', 222, 'Winston', 'Martin'
'1997-10-07', 891, 'Winston', 'Pearson'
'2000-04-04', 961, 'Priscilla', 'Martin'
'2000-05-05', 599, 'Victor', 'Martin'
'2000-05-10', 276, 'Zariah', 'Martin'
'1997-02-09', 454, 'Ian', 'Perry'
'2000-02-09', 1098, 'Ian', 'Martin'
'2000-06-05', 1778, 'Bryan', 'Moore'
'1999-08-10', 1199, 'Nadine', 'Nedry'
'1999-10-09', 502, 'Zachary', 'Nedry'
'2000-06-06', 500, 'Brienne', 'Moore'
'2000-06-07', 2198, 'Carl', 'Moore'
'2000-06-08', 1059, 'Caitlyn', 'Moore'
'2000-06-09', 1026, 'Dennis', 'Moore'
'2000-03-03', 697, 'Kingston', 'Martin'
'2000-01-02', 1719, 'Alice', 'Martin'
'2000-03-02', 309, 'Jennifer', 'Martin'
'1996-06-01', 1492, 'Aaron', 'Quentin'
'2000-07-03', 1773, 'Francis', 'Moore'
'2000-07-05', 1066, 'Gary', 'Moore'
'2000-07-06', 821, 'Genevieve', 'Moore'
'2000-07-07', 1706, 'Horus', 'Moore'
'1998-10-09', 1639, 'Zachary', 'Oscar'
'2000-05-06', 1451, 'Valerie', 'Martin'
'2000-07-09', 748, 'Ian', 'Moore'
'2000-07-10', 1062, 'Isabelle', 'Moore'
'2000-08-01', 1927, 'Jack', 'Moore'
'2000-03-07', 1311, 'Mark', 'Martin'
'2000-08-05', 284, 'Lucas', 'Moore'
'2000-08-06', 771, 'Lily', 'Moore'
'2000-08-07', 1724, 'Mark', 'Moore'
'1999-09-06', 900, 'Rachel', 'Nedry'
'2000-04-10', 264, 'Sarah', 'Martin'
'2000-09-04', 754, 'Priscilla', 'Moore'
'2000-09-06', 921, 'Rachel', 'Moore'
'2000-09-07', 1500, 'Ronald', 'Moore'
'1992-08-09', 600, 'Nick', 'Ursa'
'2000-09-09', 965, 'Stanley', 'Moore'
'2000-09-10', 243, 'Sarah', 'Moore'
'2000-08-02', 403, 'Jennifer', 'Moore'
'2000-10-01', 968, 'Timothy', 'Moore'
'2000-10-02', 986, 'Tania', 'Moore'
'2000-10-04', 1996, 'Ulsana', 'Moore'
'2000-10-08', 224, 'Whitney', 'Moore'
'2000-10-09', 1674, 'Zachary', 'Moore'
'2000-04-05', 707, 'Randy', 'Martin'
'2001-01-03', 708, 'Alex', 'Lichtinstein'
'2001-01-05', 1554, 'Bryan', 'Lichtinstein'
'2001-01-06', 1087, 'Brienne', 'Lichtinstein'
'2001-01-07', 1552, 'Carl', 'Lichtinstein'
'2001-01-09', 1053, 'Dennis', 'Lichtinstein'
'2001-02-01', 978, 'Earl', 'Lichtinstein'
'2000-08-04', 871, 'Kelly', 'Moore'
'2001-02-05', 1013, 'Gary', 'Lichtinstein'
'2000-07-01', 100, 'Earl', 'Moore'
'2001-02-09', 741, 'Ian', 'Lichtinstein'
'2001-03-01', 704, 'Jack', 'Lichtinstein'
'2001-03-02', 1702, 'Jennifer', 'Lichtinstein'
'2000-06-03', 700, 'Alex', 'Moore'
'2001-03-04', 213, 'Kelly', 'Lichtinstein'
'2001-02-08', 1614, 'Holly', 'Lichtinstein'
'2001-03-05', 786, 'Lucas', 'Lichtinstein'
'2000-08-08', 756, 'Marsella', 'Moore'
'2000-10-03', 1300, 'Ulrich', 'Moore'
'2001-03-07', 728, 'Mark', 'Lichtinstein'
'1998-08-07', 109, 'Mark', 'Oscar'
'2000-07-02', 1603, 'Elaine', 'Moore'
'2001-01-08', 1542, 'Caitlyn', 'Lichtinstein'
'2001-03-09', 1093, 'Nick', 'Lichtinstein'
'2001-04-01', 1016, 'Oren', 'Lichtinstein'
'2001-04-03', 1997, 'Patrick', 'Lichtinstein'
'2001-04-06', 1073, 'Rachel', 'Lichtinstein'
'2001-04-07', 1800, 'Ronald', 'Lichtinstein'
'2001-04-09', 226, 'Stanley', 'Lichtinstein'
'2001-05-02', 693, 'Tania', 'Lichtinstein'
'2001-05-04', 1051, 'Ulsana', 'Lichtinstein'
'2001-05-06', 2000, 'Valerie', 'Lichtinstein'
'2000-08-10', 1726, 'Nadine', 'Moore'
'2001-05-07', 954, 'Winston', 'Lichtinstein'
'2000-08-09', 286, 'Nick', 'Moore'
'2001-05-08', 1953, 'Whitney', 'Lichtinstein'
'2001-05-10', 1057, 'Zariah', 'Lichtinstein'
'2000-07-08', 1688, 'Holly', 'Moore'
'2000-10-07', 800, 'Winston', 'Moore'
'2001-06-02', 1036, 'Alice', 'Laurel'
'2000-06-10', 958, 'Deidre', 'Moore'
'2001-04-02', 1014, 'Olivia', 'Lichtinstein'
'2001-06-03', 1986, 'Alex', 'Laurel'
'2000-06-04', 1000, 'Ariel', 'Moore'
'2001-06-05', 1055, 'Bryan', 'Laurel'
'2001-04-04', 731, 'Priscilla', 'Lichtinstein'
'2001-06-07', 956, 'Carl', 'Laurel'
'2000-09-02', 1648, 'Olivia', 'Moore'
'2001-01-10', 1592, 'Deidre', 'Lichtinstein'
'2001-05-03', 405, 'Ulrich', 'Lichtinstein'
'2000-10-10', 1038, 'Zariah', 'Moore'
'2001-06-09', 1081, 'Dennis', 'Laurel'
'1998-01-02', 936, 'Alice', 'Overton'
'2001-07-01', 1666, 'Earl', 'Laurel'
'2001-07-02', 983, 'Elaine', 'Laurel'
'2000-05-09', 242, 'Zachary', 'Martin'
'2001-07-03', 400, 'Francis', 'Laurel'
'2001-07-04', 609, 'Fawn', 'Laurel'
'2001-07-10', 928, 'Isabelle', 'Laurel'
'2001-08-01', 1095, 'Jack', 'Laurel'
'2001-08-02', 1600, 'Jennifer', 'Laurel'
'2001-08-03', 1746, 'Kingston', 'Laurel'
'2001-03-03', 757, 'Kingston', 'Lichtinstein'
'2001-08-05', 1923, 'Lucas', 'Laurel'
'2001-08-06', 772, 'Lily', 'Laurel'
'2001-02-03', 1734, 'Francis', 'Lichtinstein'
'2001-08-08', 696, 'Marsella', 'Laurel'
'2001-08-10', 1784, 'Nadine', 'Laurel'
'2001-02-02', 1736, 'Elaine', 'Lichtinstein'
'2001-09-01', 1692, 'Oren', 'Laurel'
'2001-03-08', 1700, 'Marsella', 'Lichtinstein'
'2001-09-03', 300, 'Patrick', 'Laurel'
'2001-01-01', 1058, 'Aaron', 'Lichtinstein'
'2001-09-04', 694, 'Priscilla', 'Laurel'
'2001-09-05', 703, 'Randy', 'Laurel'
'2001-09-06', 1528, 'Rachel', 'Laurel'
'2001-10-01', 1072, 'Timothy', 'Laurel'
'2001-10-04', 692, 'Ulsana', 'Laurel'
'2001-10-05', 718, 'Victor', 'Laurel'
'2001-03-10', 1042, 'Nadine', 'Lichtinstein'
'2001-10-06', 768, 'Valerie', 'Laurel'
'2001-10-07', 699, 'Winston', 'Laurel'
'2000-09-05', 1200, 'Randy', 'Moore'
